LINE_ID,ID,DIST,DIST_SURF,X,Y,Z
"0","49",0.0000000000,0.0000000000,-73.9464620620,8.9952744929,24.0000000000
"0","50",0.0004516313,0.0004516313,-73.9460905460,8.9950176918,24.0000000000
"0","51",0.0006894385,0.0006894385,-73.9458982790,8.9948777428,24.0000000000
"0","52",0.0009263696,2.0006894525,-73.9457091120,8.9947350817,26.0000000000
"0","53",0.0011181070,2.0008811900,-73.9455580510,8.9946169977,26.0000000000
"0","54",0.0012979133,2.0010609963,-73.9454194140,8.9945024987,26.0000000000
"0","55",0.0015310808,2.0012941637,-73.9452441170,8.9943487518,26.0000000000
"0","56",0.0017753258,2.0015384088,-73.9450654870,8.9941821779,26.0000000000
"0","57",0.0020334736,2.0017965566,-73.9448816020,8.9940009966,26.0000000000
"0","58",0.0023108362,2.0020739191,-73.9446887880,8.9938016156,26.0000000000
"0","59",0.0024417226,2.0022048055,-73.9446002530,8.9937052167,26.0000000000
"0","60",0.0034510869,2.0032141698,-73.9437358920,8.9931839716,26.0000000000
"0","61",0.0070824112,2.0068454941,-73.9412344530,8.9905516116,26.0000000000
"0","62",0.0090702125,2.0088332955,-73.9400102330,8.9889855208,26.0000000000
"0","63",0.0092692463,2.0090323292,-73.9398876550,8.9888287119,26.0000000000
"0","64",0.0094303558,2.0091934388,-73.9397451690,8.9887535186,26.0000000000
"0","65",0.0128597544,4.0091963789,-73.9367121880,8.9871529566,24.0000000000
"0","66",0.0153201800,4.0116568046,-73.9342978080,8.9866791808,24.0000000000
"0","67",0.0160961747,4.0124327993,-73.9335363360,8.9865297536,24.0000000000
"0","68",0.0171986528,5.0124334070,-73.9324825440,8.9862057467,25.0000000000
"0","69",0.0179870964,5.0132218507,-73.9317289190,8.9859740296,25.0000000000
"0","70",0.0194368534,5.0146716076,-73.9303431870,8.9855479527,25.0000000000
"0","71",0.0195192763,5.0147540305,-73.9302644040,8.9855237286,25.0000000000
"0","72",0.0215612790,5.0167960332,-73.9282915990,8.9849966477,25.0000000000
"0","73",0.0251740401,5.0204087944,-73.9250199150,8.9834642877,25.0000000000
"0","74",0.0263677612,5.0216025154,-73.9240013120,8.9828418585,25.0000000000
"0","75",0.0267689917,5.0220037459,-73.9236118860,8.9827452497,25.0000000000
"0","76",0.0270037675,5.0222385218,-73.9233855910,8.9826827177,25.0000000000
"0","77",0.0272225461,5.0224573004,-73.9231762120,8.9826192788,25.0000000000
"0","78",0.0274297547,5.0226645089,-73.9229796600,8.9825536839,25.0000000000
"0","79",0.0276277238,5.0228624781,-73.9227938980,8.9824852416,25.0000000000
"0","80",0.0278052208,5.0230399750,-73.9226294430,8.9824184607,25.0000000000
"0","81",0.0279745751,5.0232093294,-73.9224751130,8.9823487247,25.0000000000
"0","82",0.0281576566,5.0233924108,-73.9223111880,8.9822671927,25.0000000000
"0","83",0.0283542803,5.0235890345,-73.9221381190,8.9821738758,25.0000000000
"0","84",0.0283705720,5.0236053263,-73.9221240650,8.9821656357,25.0000000000
"0","85",0.0299004861,6.0236064966,-73.9206415160,8.9817878976,26.0000000000
"0","86",0.0327655419,6.0264715523,-73.9179420280,8.9808280497,26.0000000000
"0","87",0.0334750694,6.0271810798,-73.9172735040,8.9805903415,26.0000000000
"0","88",0.0348605588,6.0285665692,-73.9158936940,8.9804650199,26.0000000000
"0","89",0.0356010576,6.0293070680,-73.9151562310,8.9803980387,26.0000000000
"0","90",0.0386958681,7.0293118569,-73.9121248420,8.9797747156,27.0000000000
"0","91",0.0429862752,9.0293164588,-73.9079581750,8.9807976926,25.0000000000
"0","92",0.0435028436,9.0298330272,-73.9074565050,8.9809208599,25.0000000000
"0","93",0.0479721727,10.0298430150,-73.9032898390,8.9825375823,24.0000000000
"0","94",0.0479943834,10.0298652250,-73.9032691320,8.9825456168,24.0000000000
"0","95",0.0497283465,10.0315991880,-73.9016327060,8.9831189737,24.0000000000
"0","96",0.0539305998,12.0316036030,-73.8974660390,8.9836647040,26.0000000000
"0","97",0.0556012337,13.0316049990,-73.8958095530,8.9838816627,27.0000000000
"0","98",0.0569967770,13.0330005420,-73.8944140100,8.9838809726,27.0000000000
"0","99",0.0572993124,13.0333030770,-73.8941146790,8.9838370568,27.0000000000
"0","100",0.0586503241,13.0346540890,-73.8927779780,8.9836409357,27.0000000000
"0","101",0.0599744257,15.0346545270,-73.8915395650,8.9831723436,25.0000000000
"0","102",0.0601041973,15.0347842990,-73.8914129240,8.9831440117,25.0000000000
"0","103",0.0604032062,15.0350833080,-73.8911237390,8.9830679966,25.0000000000
"0","104",0.0607117299,15.0353918320,-73.8908282650,8.9829792157,25.0000000000
"0","105",0.0610319148,15.0357120170,-73.8905247780,8.9828771665,25.0000000000
"0","106",0.0613299115,15.0360100130,-73.8902451410,8.9827741849,25.0000000000
"0","107",0.0616419923,15.0363220940,-73.8899550300,8.9826591636,25.0000000000
"0","108",0.0619715644,15.0366516660,-73.8896514360,8.9825309117,25.0000000000
"0","109",0.0623250889,15.0370051910,-73.8893285360,8.9823869838,25.0000000000
"0","110",0.0629855113,15.0376656130,-73.8887311570,8.9821053887,25.0000000000
"0","111",0.0641598257,15.0388399270,-73.8876770020,8.9815879226,25.0000000000
"0","112",0.0643841064,16.0388399530,-73.8874750460,8.9814903745,26.0000000000
"0","113",0.0659966356,16.0404524820,-73.8859686540,8.9809150186,26.0000000000
"0","114",0.0668096739,16.0412655200,-73.8853041610,8.9804465318,26.0000000000
"0","115",0.0684407336,16.0428965800,-73.8837100950,8.9801011189,26.0000000000
"0","116",0.0706838202,16.0451396660,-73.8814711410,8.9799650205,26.0000000000
"0","117",0.0707322796,16.0451881260,-73.8814227710,8.9799620799,26.0000000000
"0","118",0.0717779432,16.0462337890,-73.8803905650,8.9797948587,26.0000000000
"0","119",0.0759989411,16.0504547870,-73.8762238980,8.9791197943,26.0000000000
"0","120",0.0789471456,16.0534029920,-73.8733136420,8.9786482878,26.0000000000
"0","121",0.0821674150,16.0566232610,-73.8702643780,8.9776128538,26.0000000000
"0","122",0.0854837111,16.0599395570,-73.8670069510,8.9769907699,26.0000000000
"0","123",0.0897376681,16.0641935140,-73.8628402840,8.9761334258,26.0000000000
"0","124",0.0899414640,16.0643973100,-73.8626406700,8.9760923526,26.0000000000
"0","125",0.0916797925,17.0643988210,-73.8609078950,8.9759535099,27.0000000000
"0","126",0.0918461936,17.0645652220,-73.8607451670,8.9759187406,27.0000000000
"0","127",0.0926719699,17.0653909980,-73.8599376190,8.9757461928,27.0000000000
"0","128",0.0945537671,18.0653927690,-73.8584133690,8.9746426429,26.0000000000
"0","129",0.0952367900,18.0660757920,-73.8578488620,8.9742581278,26.0000000000
"0","130",0.0955544339,18.0663934360,-73.8576065020,8.9740528005,26.0000000000
"0","131",0.0992575306,18.0700965330,-73.8548651350,8.9715632557,26.0000000000
"0","132",0.1022571157,18.0730961180,-73.8525565340,8.9696480868,26.0000000000
"0","133",0.1046396557,18.0754786580,-73.8510178150,8.9678290649,26.0000000000
"0","134",0.1059582993,19.0754795270,-73.8507204810,8.9665443806,27.0000000000
"0","135",0.1062481797,19.0757694070,-73.8506158770,8.9662740316,27.0000000000
"0","136",0.1070771386,19.0765983660,-73.8503167450,8.9655009256,27.0000000000
"0","137",0.1086384529,20.0765995850,-73.8498712170,8.9640045276,28.0000000000
"0","138",0.1095585852,20.0775197170,-73.8494583430,8.9631822268,28.0000000000
"0","139",0.1101696316,20.0781307640,-73.8491775790,8.9626395028,28.0000000000
"0","140",0.1103711369,22.0781307740,-73.8490998140,8.9624536077,26.0000000000
"0","141",0.1106047258,22.0783643630,-73.8490401890,8.9622277569,26.0000000000
"0","142",0.1122777984,22.0800374350,-73.8484443890,8.9606643649,26.0000000000
"0","143",0.1136404717,22.0814001090,-73.8483054160,8.9593087967,26.0000000000
"0","144",0.1150349692,23.0814010810,-73.8485509630,8.9579360877,27.0000000000
"0","145",0.1161191570,23.0824852690,-73.8488487340,8.9568935928,27.0000000000
"0","146",0.1185288777,25.0824867210,-73.8501433380,8.9548611669,25.0000000000
"0","147",0.1207744074,26.0824892420,-73.8516474300,8.9531938007,26.0000000000
"0","148",0.1229807904,26.0846956250,-73.8531689430,8.9515959507,26.0000000000
"0","149",0.1285276984,26.0902425330,-73.8568305110,8.9474292840,26.0000000000
"0","150",0.1306111919,26.0923260260,-73.8582058450,8.9458642278,26.0000000000
"0","151",0.1326340417,26.0943488760,-73.8595699450,8.9443705238,26.0000000000
"0","152",0.1335764830,26.0952913170,-73.8604963280,8.9441972878,26.0000000000
"0","153",0.1338472932,26.0955621280,-73.8607670790,8.9442029405,26.0000000000
"0","154",0.1344330320,26.0961478660,-73.8613526900,8.9442151655,26.0000000000
"0","155",0.1346279519,26.0963427860,-73.8615410610,8.9441650635,26.0000000000
"0","156",0.1348578577,26.0965726920,-73.8617546400,8.9442501559,26.0000000000
"0","157",0.1352716705,26.0969865050,-73.8621215430,8.9444415279,26.0000000000
"0","158",0.1356802188,26.0973950530,-73.8624359760,8.9447023795,26.0000000000
